row_id,source_page,source_row,name,name_dv,constituency,constituency_dv,source_id
dp20--001,1,1,husain shareefu,ޙުސައިން ޝަރީފު,hulhumaale uthuru dhaairaa,ހުޅުމާލެ އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--002,1,2,abdhuullah shazeem,އަްބދުﷲ ޝަޒީމް,hulhumaale medhu dhaairaa,ހުޅުމާލެ މެދު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--003,1,3,ahmadhu aifaan,އަޙްމަދު އައިފާން,henveyru uthuru dhaairaa,ހެންވޭރު އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--004,1,4,husain naasih,ޙުސައިން ނާސިޙް,medhuhenveyru dhaairaa,މެދުހެންވޭރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--005,1,5,husain imraan lateef,ޙުސައިން އިމްރާން ލަޠީފް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--006,1,6,alee ibraaheem,ޢަލީ އިްބރާހީމް,henveyru hulhangu dhaairaa,ހެންވޭރު ހުޅަނގު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--007,1,7,meekaaeelu ahmadhu naseem,މީކާއީލު އަޙްމަދު ނަސީމް,galolhu dhekunu dhaairaa,ގަލޮޅު ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--008,1,8,ibraaheem muhamadhu,އިްބރާހީމް މުޙައްމަދު,machangolhi uthuru dhaairaa,މައްޗަންގޮޅި އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--009,1,9,ahmadhu zameeru,އަޙްމަދު ޟަމީރު,machangolhi medhu dhaairaa,މައްޗަންގޮޅި މެދު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--010,1,10,mustafaa husain,މުޞްޠަފާ ޙުސައިން,machangolhi dhekunu dhaairaa,މައްޗަންގޮޅި ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--011,1,11,asmaa rasheedhu,އަސްމާ ރަޝީދު,maafannu medhu dhaairaa,މާފަންނު މެދު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--012,1,12,abdhuullah rifaau,ޢަްބދުﷲ ރިފާޢު,maafannu dhekunu dhaairaa,މާފަންނު ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--013,1,13,muhamadhu mustafaa ibraaheem,މުޙައްމަދު މުޞްޠަފާ އިްބރާހީމް,maafannu hulhangu dhaairaa,މާފަންނު ހުޅަނގު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--014,1,14,muhamadhu ismaaeel,މުޙައްމަދު އިސްމާޢީލް,vilimaale dhaairaa,ވިލިމާލެ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--015,1,15,alee moosaa,ޢަލީ މޫސާ,hoarafushi dhaairaa,ހޯރަފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--016,1,16,ahmadhu naseeru,އަޙްމަދު ނަޞީރު,ihavandhoo dhaairaa,އިހަވަންދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--017,1,17,ibraaheem shujaau,އިްބރާހީމް ޝުޖާޢު,aabrashu dhaairaa,ާބރަށު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--018,1,18,abdhullateef muhamadhu,އަްބދުލްލަޠީފް މުޙައްމަދު,dhidhoo dhaairaa,ދިއްދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--019,1,19,abdhuullah shareef,ޢަްބދުﷲ ޝަރީފް,kelaa dhaairaa,ކެލާ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--020,2,20,abdhulghafooru moosaa,ޢަްބދުލްޣަފޫރު މޫސާ,hanimaadhoo dhaairaa,ހަނިމާދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--021,2,21,muhamadhu rasheedhu,މުޙައްމަދު ރަޝީދު,nolhivaram dhaairaa,ނޮޅިވަރަމް ދާއިރާ,rti-majlis-vip-passports-20th
dp20--022,2,22,husain ziyaadhu,ޙުސައިން ޒިޔާދު,vaikaradhoo dhaairaa,ވައިކަރަދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--023,2,23,faruhathu muhamadhu,ފަރުޙަތު މުޙައްމަދު,kulhudhufushi dhekunu dhaairaa,ކުޅުދުއްފުށި ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--024,2,24,aadham shafeequ,އާދަމް ޝަފީޤު,makunudhoo dhaairaa,މަކުނުދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--025,2,25,ameen faisal,އަމީން ފައިޞަލް,kanditheemu dhaairaa,ކަނޑިތީމު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--026,2,26,hasan mufeedhu abdhulqaadhiru,ޙަސަން މުފީދު ޢަްބދުލްޤާދިރު,milandhoo dhaairaa,މިލަންދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--027,2,27,muhamadhu ibraahim,މުޙައްމަދު އިްބރާޙިމް,komandoo dhaairaa,ކޮމަންޑޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--028,2,28,muhamadhu mamdhooh,މުޙައްމަދު މަމްދޫޙް,funadhoo dhaairaa,ފުނަދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--029,2,29,muhamadhu afoo haamidhu,މުޙައްމަދު ޢަފޫ ޙާމިދު,kendhikulhudhoo dhaairaa,ކެނދިކުޅުދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--030,2,30,husnee muaabrik,ޙުސްނީ މުާބރިކް,manadhoo dhaairaa,މަނަދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--031,2,31,muhamadhu aaabs,މުޙައްމަދު ޢައްާބސް,velidhoo dhaairaa,ވެލިދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--032,2,32,abdhusathaaru muhamadhu,ޢަްބދުއްސައްތާރު މުޙައްމަދު,holhudhoo dhaairaa,ހޮޅުދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--033,2,33,abdhulateef abdhurahmaanu,ޢަްބދުއްލަޠީފް ޢަްބދުއްރަޙްމާނު,alifushi dhaairaa,އަލިފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--034,2,34,ibraaheem shifaaz,އިްބރާހީމް ޝިފާޒް,ungoofaaru dhaairaa,އުނގޫފާރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--035,2,35,muhamadhu alee,މުޙައްމަދު ޢަލީ,dhuvaafaru dhaairaa,ދުވާފަރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--036,2,36,ibraaheem falaah,އިްބރާހީމް ފަލާޙް,inguraidhoo dhaairaa,އިނގުރައިދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--037,2,37,ahmadhu zaahiru,އަޙްމަދު ޒާހިރު,maduvari dhaairaa,މަޑުއްވަރި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--038,2,38,abdhulhannaan aoobabkuru,ޢަްބދުލްޙަންނާން އަޫބަބކުރު,thulhaadhoo dhaairaa,ތުޅާދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--039,2,39,ahmadhu saleem,އަޙްމަދު ސަލީމް,eydhafushi dhaairaa,އޭދަފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--040,2,40,mauroof dhaakiru,މަޢުރޫފް ޛާކިރު,kendhoo dhaairaa,ކެންދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--041,2,41,muhamadhu siruhaan,މުޙައްމަދު ސިރުޙާން,hithaadhoo dhaairaa,ހިތާދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--042,2,42,muhamadhu abdhurahmaan,މުޙައްމަދު ޢަްބދުއްރަޙްމާން,hinnavaru dhaairaa,ހިންނަވަރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--043,2,43,yaaseen abdhuullah,ޔާސީން ޢަްބދުﷲ,naifaru dhaairaa,ނައިފަރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--044,2,44,muhamadhu shaamin haeebub,މުޙައްމަދު ޝާމިން ޙަީބުބ,kurendhoo dhaairaa,ކުރެންދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--045,2,45,munthazim ibraaheem,މުންތަޡިމް އިްބރާހީމް,kaashidhoo dhaairaa,ކާށިދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--046,2,46,ibraaheem naseem,އިްބރާހީމް ނަސީމް,thulusdhoo dhaairaa,ތުލުސްދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--047,2,47,husain rizaa aadham,ހުސައިން ރިޟާ އާދަމް,maafushi dhaairaa,މާފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--048,2,48,doktar anaaraa naeem,ޑޮކްޓަރ އަނާރާ ނަޢީމް,huraa dhaairaa,ހުރާ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--049,3,49,hasan zareeru,ޙަސަން ޒަރީރު,mathiveri dhaairaa,މަތިވެރި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--050,3,50,husain sameeru,ޙުސައިން ސަމީރު,thodoo dhaairaa,ތޮއްޑޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--051,3,51,qaasim ibraaheem,ޤާސިމް އިްބރާހީމް,maamigili dhaairaa,މާމިގިލި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--052,3,52,ahmadhu taariq,އަޙްމަދު ޠާރިޤް,mahiabdhoo dhaairaa,މަހިަބދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--053,3,53,abdhuullah rasheedhu,އަްބދުﷲ ރަޝީދު,gangethi dhaairaa,ގަނގެތި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--054,3,54,aadham zaahiru,އާދަމް ޒާހިރު,felidhoo dhaairaa,ފެލިދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--055,3,55,muhamadhu niushaadhu,މުޙައްމަދު ނިއުޝާދު,keyodhoo dhaairaa,ކެޔޮދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--056,3,56,ibraaheem naufal,އިްބރާހީމް ނައުފަލް,mulaku dhaairaa,މުލަކު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--057,3,57,ahmadhu aslam,އަޙްމަދު އަސްލަމް,iblethdhoo dhaairaa,ިބލެތްދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--058,3,58,faatimathu saudhaa,ފާޠިމަތު ސަޢުދާ,nilandhoo dhaairaa,ނިލަންދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--059,3,59,ahmadhu siyaam muhamadhu,އަޙްމަދު ސިޔާމް މުޙައްމަދު,meedhoo dhaairaa,މީދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--060,3,60,husain hameedhu,ޙުސައިން ޙަމީދު,kudahuvadhoo dhaairaa,ކުޑަހުވަދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--061,3,61,hasan vaheedhu,ޙަސަން ވަޙީދު,vilufushi dhaairaa,ވިލުފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--062,3,62,ahmadhu riyaaz,އަޙްމަދު ރިޔާޟް,thimarafushi dhaairaa,ތިމަރަފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--063,3,63,alee ashraq,ޢަލީ އަޝްރަޤް,kinibdhoo dhaairaa,ކިނިބދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--064,3,64,hanaan muhamadhu rasheedhu,ހަނާން މުޙައްމަދު ރަޝީދު,guraidhoo dhaairaa,ގުރައިދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--065,3,65,ismaaeel shafeeu,އިސްމާޢީލް ޝަފީޢު,isdhoo dhaairaa,އިސްދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--066,3,66,yoosuf nasheedhu,ޔޫސުފް ނަޝީދު,gamu dhaairaa,ގަމު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--067,3,67,abdhuraheem abdhuullah,އަްބދުއްރަޙީމް އަްބދުﷲ,fonadhoo dhaairaa,ފޮނަދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--068,3,68,ahmadhu shaakiru,އަޙްމަދު ޝާކިރު,maavashu dhaairaa,މާވަށު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--069,3,69,aazim abdhulazeez,ޢާޒިމް ޢަްބދުލްޢަޒީޒް,vilingili dhaairaa,ވިލިނގިލި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--070,3,70,muhamadhu fazeel,މުޙައްމަދު ފަޟީލް,dhaandhoo dhaairaa,ދާންދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--071,3,71,ibraaheemdheedhee,އިްބރާހީމްދީދީ,kolamaafushi dhaairaa,ކޮލަމާފުށި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--072,3,72,saudhuullah hilmee,ސަޢުދުﷲ ޙިލްމީ,thinadhoo uthuru dhaairaa,ތިނަދޫ އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--073,3,73,muhamadhu alsan ahmadhu,މުޙައްމަދު އަލްސަން އަޙްމަދު,thinadhoo dhekunu dhaairaa,ތިނަދޫ ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--074,3,74,muhamadhu shameez,މުޙައްމަދު ޝަމީޒް,madaveli dhaairaa,މަޑަވެލި ދާއިރާ,rti-majlis-vip-passports-20th
dp20--075,3,75,ashraf rasheedhu,އަޝްރަފް ރަޝީދު,faresmaathodaa dhaairaa,ފަރެސްމާތޮޑާ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--076,3,76,muhamadhu alee,މުޙައްމަދު ޢަލީ,gadhoo dhaairaa,ގައްދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--077,3,77,hamadhu abdhuullah,ޙަމަދު އަްބދުﷲ,fuvamulaku uthuru dhaairaa,ފުވައްމުލަކު އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--078,4,78,alee fazaadhu,ޢަލީ ފަޒާދު,fuvamulaku medhu dhaairaa,ފުވައްމުލަކު މެދު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--079,4,79,ibraaheem husain,އިްބރާހީމް ޙުސައިން,fuvamulaku dhekunu dhaairaa,ފުވައްމުލަކު ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--080,4,80,muhamadhu shaahidhu,މުޙައްމަދު ޝާހިދު,hulhudhoo dhaairaa,ހުޅުދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--081,4,81,ismaaeel nizaaru,އިސްމާޢީލް ނިޒާރު,feydhoo uthuru dhaairaa,ފޭދޫ އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--082,4,82,ibraaheemdheedhee,އިްބރާހީމްދީދީ,feydhoo dhekunu dhaairaa,ފޭދޫ ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--083,4,83,ahmadhudheedhee,އަޙްމަދުދީދީ,maradhoo dhaairaa,މަރަދޫ ދާއިރާ,rti-majlis-vip-passports-20th
dp20--084,4,84,muhamadhu sinaan,މުޙައްމަދު ސިނާން,hithadhoo uthuru dhaairaa,ހިތަދޫ އުތުރު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--085,4,85,ahmadhu azaan maruzooqu,އަޙްމަދު އަޒާން މަރުޒޫޤު,hithadhoo medhu dhaairaa,ހިތަދޫ މެދު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--086,4,86,ibraaheem naazil,އިްބރާހީމް ނާޒިލް,hithadhoo dhekunu dhaairaa,ހިތަދޫ ދެކުނު ދާއިރާ,rti-majlis-vip-passports-20th
dp20--087,4,87,abdhurahmaan,އަްބދުއްރަޙްމާން,adoomeedhoo dhaairaa,އައްޑޫމީދޫ ދާއިރާ,rti-majlis-vip-passports-20th
