majlis_id,term,name,name_dv,constituency,constituency_dv,party,seat_no,photo_url,source_id
54,18,Ahmed Azhan Fahumy,އަޙްމަދު އަޒްހާން ފަހުމީ,Maavashu Dhaaira,މާވަށު ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/M1QEWpKvABCBAmEUQ22JWZ8j6jOrPVr07K0RLqxv.jpeg,majlis-member-roster
63,18,Ali Shah,ޢަލީ ޝާހް,Fuvahmulaku Uthuru Dhaaira,ފުވައްމުލަކު އުތުރު ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/M0epsVLtoTzD3Bm2cjlZJ7ithrOElN1msU8u3BHP.jpeg,majlis-member-roster
62,18,Ahmed Rasheed,އަޙްމަދު ރަޝީދު,Gadhdhoo Dhaaira,ގައްދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/FnQPdnB5bsezqy7U20CKgeyW1PIlLJvAHmPJIxHE.jpeg,majlis-member-roster
61,18,Hussain Mohamed Latheef,ޙުސައިން މުޙައްމަދު ލަޠީފް,Faresmaathodhaa Dhaaira,ފަރެސްމާތޮޑާ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/6jd1bWvSJDLGE0VMFwmS75KuoaA9NIXX0BgdXyPD.jpeg,majlis-member-roster
60,18,Muaz Mohamed Rasheed,މުޢާޒް މުޙައްމަދު ރަޝީދު,Madaveli Dhaaira,މަޑަވެލި ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/cHnP6AhufJyQuuXyWTXqgNYNjtL5ZJoA6PAoYs6Q.jpeg,majlis-member-roster
59,18,Abdulla Ahmed,ޢަބްދުﷲ އަޙްމަދު,Thinadhoo Dhekunu Dhaaira,ތިނަދޫ ދެކުނު ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/t4zTSfUXnA4n25gZZMb1tj3QO7MRlJ48PxfYKOVq.jpeg,majlis-member-roster
58,18,Saudhullah Hilmy,ސައުދުﷲ ޙިލްމީ,Thinadhoo Uthuru Dhaaira,ތިނަދޫ އުތުރު ދާއިރާ,IND,0,https://majlis.gov.mv/storage/members/6xbRwkywFbo8ogYIgt4EPZ5gEBtbfvv4oUFkFvlW.jpeg,majlis-member-roster
57,18,Jameel Usmaan,ޖަމީލް ޢުޘްމާން,Gemanafushi Dhaaira,ގެމަނަފުށި ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/TF7ihMs82eKBGQvFR6cFupTvzXHqm8Zgs56AtLvj.jpeg,majlis-member-roster
56,18,Ahmed Assad,އަޙްމަދު އަސްޢަދު,Dhaandhoo Dhaaira,ދާންދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/sK4gB6vBhcm2bt5odu4fJxw37LXgpLih0cQX4tJ5.jpeg,majlis-member-roster
55,18,Saud Hussain,ސައުދު ޙުސައިން,Villingili Dhaaira,ވިލިނގިލި ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/ZqDCCXSkV2CRmjq0NSMrNsEACPOSKJZdSx7Yc8I1.jpeg,majlis-member-roster
