row_id,name,start,end,source_id
speaker--mohamed-aslam--2023-11-14,Mohamed Aslam,2023-11-14,2024-05-28,majlis-speakers-history
speaker--president-mohamed-nasheed--2019-05-28,President Mohamed Nasheed,2019-05-28,2023-11-13,majlis-speakers-history
speaker--gasim-ibrahim--2018-11-01,Gasim Ibrahim,2018-11-01,2019-05-27,majlis-speakers-history
speaker--abdulla-maseeh-mohamed--2014-05-27,Abdulla Maseeh Mohamed,2014-05-27,2018-11-01,majlis-speakers-history
speaker--abdulla-shahid--2009-05-28,Abdulla Shahid,2009-05-28,2014-05-28,majlis-speakers-history
speaker--mohamed-shihab--2008-08-12,Mohamed Shihab,2008-08-12,2009-05-28,majlis-speakers-history
speaker--ahmed-zahir--2004-09-13,Ahmed Zahir,2004-09-13,2008-08-06,majlis-speakers-history
speaker--utz-abdulla-hameed--1993-11-11,Utz. Abdulla Hameed,1993-11-11,2004-09-13,majlis-speakers-history
speaker--saahibuh-saadhaa-ahmed-zaki--1990-02-22,Saahibuh Saadhaa Ahmed Zaki,1990-02-22,1993-11-11,majlis-speakers-history
speaker--utz-abdulla-hameed--1988-02-14,Utz. Abdulla Hameed,1988-02-14,1990-02-22,majlis-speakers-history
speaker--utz-ibrahim-shihab--1982-11-11,Utz. Ibrahim Shihab,1982-11-11,1988-01-15,majlis-speakers-history
speaker--sheikh-ahmed-shathir--1972-08-01,Sheikh Ahmed Shathir,1972-08-01,1982-11-11,majlis-speakers-history
speaker--saahibuh-saadhaa-ahmed-zaki--1959-10-03,Saahibuh Saadhaa Ahmed Zaki,1959-10-03,1972-08-01,majlis-speakers-history
speaker--ibrahim-fareed-didi--1954-03-01,Ibrahim Fareed Didi,1954-03-01,1959-10-03,majlis-speakers-history
speaker--sheikh-malim-moosa-maafayeh-kaleygefaanu--1952-04-13,Sheikh Malim Moosa Maafayeh Kaleygefaanu,1952-04-13,1953-10-21,majlis-speakers-history
speaker--sheikh-mohamed-naseer-manik--1948-04-12,Sheikh Mohamed Naseer Manik,1948-04-12,1952-04-12,majlis-speakers-history
speaker--al-ameer-ali-kudaran-nabandeyri-kileygefaanu--1945-11-08,Al Ameer Ali Kudaran'nabandeyri Kileygefaanu,1945-11-08,1948-03-03,majlis-speakers-history
speaker--al-ameer-ibrahim-ali-didi--1944-10-30,Al Ameer Ibrahim Ali Didi,1944-10-30,1945-11-07,majlis-speakers-history
speaker--utz-ahmed-kaamil-didi--1942-06-27,Utz. Ahmed Kaamil Didi,1942-06-27,1944-10-29,majlis-speakers-history
speaker--al-ameer-mohamed-fareed-didi--1933-10-21,Al Ameer Mohamed Fareed Didi,1933-10-21,1942-06-25,majlis-speakers-history
