row_id,source_page,source_row,designation_dv,rank,basic_salary,living_allowance,phone_allowance,petrol_allowance,occupied_date,status,source_id
edu--001,1,1,,minister,42500,15000,1000,7500,2023-11-17,,rti-education-higher-education-political
edu--002,1,2,,state-minister,29500,12500,1500,,2023-11-21,,rti-education-higher-education-political
edu--003,1,3,,state-minister,29500,12500,1500,,2023-11-21,,rti-education-higher-education-political
edu--004,1,4,,state-minister,29500,12500,1500,,2023-12-14,,rti-education-higher-education-political
edu--005,1,5,,state-minister,29500,12500,,,2024-04-15,,rti-education-higher-education-political
edu--006,1,6,,state-minister,29500,12500,,,2026-01-26,,rti-education-higher-education-political
edu--007,1,7,,deputy-minister,18000,12500,1000,,2023-11-29,,rti-education-higher-education-political
edu--008,1,8,,deputy-minister,18000,12500,1000,,2023-11-29,,rti-education-higher-education-political
edu--009,1,9,,deputy-minister,18000,12500,1000,,2023-11-30,,rti-education-higher-education-political
edu--010,1,10,,deputy-minister,18000,12500,1000,,2024-01-07,,rti-education-higher-education-political
edu--011,1,11,,deputy-minister,18000,12500,1000,,2024-01-07,,rti-education-higher-education-political
edu--012,1,12,,deputy-minister,18000,12500,1000,,2024-02-05,,rti-education-higher-education-political
edu--013,1,13,,deputy-minister,18000,12500,1000,,2024-03-13,,rti-education-higher-education-political
edu--014,1,14,,deputy-minister,18000,12500,,,2024-04-03,,rti-education-higher-education-political
edu--015,1,15,,deputy-minister,18000,12500,,,2024-04-16,,rti-education-higher-education-political
edu--016,1,16,,senior-political-director,15000,10000,500,,2023-12-10,,rti-education-higher-education-political
edu--017,1,17,,senior-political-director,15000,10000,500,,2023-12-10,,rti-education-higher-education-political
edu--018,1,18,,senior-political-director,15000,10000,500,,2024-02-13,,rti-education-higher-education-political
edu--019,1,19,,senior-political-director,15000,10000,500,,2024-03-13,,rti-education-higher-education-political
edu--020,1,20,,senior-political-director,15000,10000,,,2024-04-17,,rti-education-higher-education-political
edu--021,2,21,,senior-political-director,15000,10000,,,2024-04-30,,rti-education-higher-education-political
edu--022,2,22,,senior-political-director,15000,10000,,,2024-05-07,,rti-education-higher-education-political
edu--023,2,23,,senior-political-director,15000,10000,,,2024-06-05,,rti-education-higher-education-political
edu--024,2,24,,senior-political-director,15000,10000,,,2024-06-06,,rti-education-higher-education-political
edu--025,2,25,,senior-political-director,15000,10000,,,2024-08-26,,rti-education-higher-education-political
edu--026,2,26,,senior-political-director,15000,10000,,,2025-07-03,,rti-education-higher-education-political
edu--027,2,27,,senior-political-director,15000,10000,,,2025-09-16,,rti-education-higher-education-political
edu--028,2,28,,senior-political-director,15000,10000,,,2024-04-09,,rti-education-higher-education-political
edu--029,2,29,,senior-political-director,15000,10000,,,2026-03-30,,rti-education-higher-education-political
edu--030,2,30,,senior-political-director,15000,10000,500,,2024-04-11,,rti-education-higher-education-political
edu--031,2,31,,political-director,11000,9000,500,,2024-02-14,,rti-education-higher-education-political
edu--032,2,32,,political-director,11000,9000,500,,2024-02-12,,rti-education-higher-education-political
edu--033,2,33,,political-director,11000,9000,,,2024-05-09,,rti-education-higher-education-political
edu--034,2,34,,political-director,11000,9000,,,2024-09-09,,rti-education-higher-education-political
edu--035,2,35,,political-director,11000,9000,,,2025-01-28,,rti-education-higher-education-political
edu--036,2,36,,political-director,11000,9000,,,2025-10-01,,rti-education-higher-education-political
edu--037,2,37,,state-minister,29500,12500,1500,,2023-12-13,left,rti-education-higher-education-political
edu--038,2,38,,state-minister,29500,12500,1500,,2024-01-01,left,rti-education-higher-education-political
edu--039,2,39,,deputy-minister,18000,12500,1000,,2023-11-27,moved-to-political-director,rti-education-higher-education-political
edu--040,2,40,,deputy-minister,18000,12500,1000,,2023-12-05,left,rti-education-higher-education-political
edu--041,2,41,,deputy-minister,18000,12500,1000,,2023-12-07,moved-to-political-director,rti-education-higher-education-political
edu--042,2,42,,deputy-minister,18000,12500,1000,,2024-01-02,left,rti-education-higher-education-political
edu--043,2,43,,senior-political-director,15000,10000,500,,2024-04-06,left,rti-education-higher-education-political
edu--044,2,44,,political-director,11000,9000,,,2023-12-18,left,rti-education-higher-education-political
edu--045,2,45,,senior-political-director,15000,10000,,,2024-04-14,left,rti-education-higher-education-political
edu--046,2,46,,deputy-minister,18000,12500,,,2024-09-09,left,rti-education-higher-education-political
