row_id,source_page,source_row,designation,rank,job_type,basic_salary,foreign_service_allowance,living_allowance,executive_allowance,service_allowance,supporting_co_allowance,technical_co_allowance,phone_allowance,minimum_wage_allowance,petrol_allowance,dress_allowance_yearly,stated_total,source_id
fa--001,1,1,Minister of Foreign Affairs,minister,Political,42500,0,15000,0,0,0,0,1000,0,7500,0,66000.00,rti-foreign-affairs-salary-structure-2025
fa--002,1,2,Ambassador-at-Large,,Political,42500,0,15000,0,0,0,0,0,0,0,0,,rti-foreign-affairs-salary-structure-2025
fa--003,1,3,Ambassador-at-Large,,Political,42500,0,15000,0,0,0,0,0,0,0,0,,rti-foreign-affairs-salary-structure-2025
fa--004,1,4,Ambassador-at-Large,,Political,42500,0,15000,0,0,0,0,0,0,0,0,,rti-foreign-affairs-salary-structure-2025
fa--005,1,5,Ambassador,,Political,42500,0,0,0,0,0,0,0,0,0,0,42500.00,rti-foreign-affairs-salary-structure-2025
fa--006,1,6,Ambassador,,Political,42500,0,0,0,0,0,0,0,0,0,0,42500.00,rti-foreign-affairs-salary-structure-2025
fa--007,1,7,Ambassador,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--008,1,8,Ambassador,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--009,1,9,Permanent Representative,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--010,1,10,High Commissioner,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--011,1,11,Ambassador,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--012,1,12,High Commissioner,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--013,1,13,High Commissioner,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--014,1,14,Ambassador,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--015,1,15,Permanent Representative,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--016,1,16,High Commissioner,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--017,1,17,Ambassador,,Political,29500,0,0,0,0,0,0,0,0,0,0,29500.00,rti-foreign-affairs-salary-structure-2025
fa--018,1,18,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--019,1,19,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--020,1,20,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--021,1,21,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--022,1,22,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--023,1,23,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--024,1,24,Minister of State for Foreign Affairs,state-minister,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--025,1,25,Ambassador-at-Large,,Political,29500,0,12500,0,0,0,0,1500,0,0,0,43500.00,rti-foreign-affairs-salary-structure-2025
fa--026,1,26,Ambassador-at-Large,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--027,1,27,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--028,1,28,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--029,1,29,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--030,1,30,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--031,1,31,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--032,1,32,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--033,1,33,Deputy Minister,deputy-minister,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--034,1,34,Deputy Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--035,1,35,Deputy Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--036,1,36,Deputy High Commissioner,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--037,1,37,Deputy High Commissioner,,Political,29500,0,12500,0,0,0,0,0,0,0,0,42000.00,rti-foreign-affairs-salary-structure-2025
fa--038,1,38,Deputy High Commissioner,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--039,1,39,Deputy High Commissioner,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--040,1,40,Deputy High Commissioner,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--041,1,41,Deputy Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--042,1,42,Deputy High Commissioner,,Political,18000,0,10000,0,0,0,0,0,0,0,0,28000.00,rti-foreign-affairs-salary-structure-2025
fa--043,1,43,Additional Secretary,,Political,18000,0,12500,0,0,0,0,1000,0,0,0,31500.00,rti-foreign-affairs-salary-structure-2025
fa--044,1,44,Trade Representative,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--045,2,45,Trade Representative,,Political,0,0,0,0,0,0,0,0,0,0,0,,rti-foreign-affairs-salary-structure-2025
fa--046,2,46,Special Counsel to the Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--047,2,47,Special Counsel to the Ambassador,,Political,18000,0,10000,0,0,0,0,0,0,0,0,28000.00,rti-foreign-affairs-salary-structure-2025
fa--048,2,48,Special Counsel to the Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--049,2,49,Special Counsel to the Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--050,2,50,Special Counsel to the Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
fa--051,2,51,Special Counsel to the Ambassador,,Political,18000,0,0,0,0,0,0,0,0,0,0,18000.00,rti-foreign-affairs-salary-structure-2025
