row_id,name,name_dv,title,title_dv,constituency,constituency_dv,source_page,source_row,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,source_id
moosaa-maniku-hulhuhenveyru,moosaa maniku,މޫސާ މަނިކު,Alfaazil,އަލްފާޟިލް,hulhuhenveyru dhaairaa,ހުޅުހެންވޭރު ދާއިރާ,1,1,50000,37500,72000,72000,72000,24000,24000,24000,24000,24000,24000,majlis-health-insurance-2014-2025
alee-niyaaz-hulhumaale,alee niyaaz,ޢަލީ ނިޔާޒް,Alfaazil,އަލްފާޟިލް,hulhumaale dhaairaa,ހުޅުމާލެ ދާއިރާ,1,2,,,,,,96000,96000,96000,96000,96000,24000,majlis-health-insurance-2014-2025
alfaazeel-husain-shareefu-hulhumaale-uthuru,alfaazeel husain shareefu,އަލްފާޟީލް ޙުސައިން ޝަރީފު,,,hulhumaale uthuru dhaairaa,ހުޅުމާލެ އުތުރު ދާއިރާ,1,3,,,,,,,,,,,168000,majlis-health-insurance-2014-2025
abdhuullah-shadheem-hulhumaale-medhu,abdhuullah shadheem,ޢަބްދުﷲ ޝަޛީމް,Alfaazil,އަލްފާޟިލް,hulhumaale medhu dhaairaa,ހުޅުމާލެ މެދު ދާއިރާ,1,4,,,,,,,,,,,120000,majlis-health-insurance-2014-2025
ahmadhu-shamheedhu-hulhumaale-dhekunu,ahmadhu shamheedhu,އަޙްމަދު ޝަމްހީދު,Dr,ޑޮކްޓަރ,hulhumaale dhekunu dhaairaa,ހުޅުމާލެ ދެކުނު ދާއިރާ,1,5,,,,,,,,,,,96000,majlis-health-insurance-2014-2025
abdhuullah-shaahidhu-henveyru-uthuru,abdhuullah shaahidhu,ޢަބްދުﷲ ޝާހިދު,Alfaazil,އަލްފާޟިލް,henveyru uthuru dhaairaa,ހެންވޭރު އުތުރު ދާއިރާ,1,6,50000,50000,72000,72000,72000,,,,,,24000,majlis-health-insurance-2014-2025
ibraaheem-muizu-henveyru-uthuru,ibraaheem muizu,އިބްރާހީމް މުޢިއްޒު,Alfaazil,އަލްފާޟިލް,henveyru uthuru dhaairaa,ހެންވޭރު އުތުރު ދާއިރާ,1,7,,,,,,24000,96000,96000,96000,96000,24000,majlis-health-insurance-2014-2025
ahmadhu-aifaan-henveyru-uthuru,ahmadhu aifaan,އަޙްމަދު އައިފާން,Alfaazil,އަލްފާޟިލް,henveyru uthuru dhaairaa,ހެންވޭރު އުތުރު ދާއިރާ,1,8,,,,,,,,,,,72000,majlis-health-insurance-2014-2025
alee-aazim-medhuhenveyru,alee aazim,ޢަލީ ޢާޒިމް,Alfaazil,އަލްފާޟިލް,medhuhenveyru dhaairaa,މެދުހެންވޭރު ދާއިރާ,1,9,62500,62500,120000,120000,96000,48000,48000,48000,72000,48000,24000,majlis-health-insurance-2014-2025
husain-naasih-medhuhenveyru,husain naasih,ޙުސައިން ނާޞިޙް,Alfaazil,އަލްފާޟިލް,medhuhenveyru dhaairaa,މެދުހެންވޭރު ދާއިރާ,1,10,,,,,,,,,,,72000,majlis-health-insurance-2014-2025
haamidhu-abdhulghafooru-henveyru-dhekunu,haamidhu abdhulghafooru,ޙާމިދު ޢަބްދުލްޣަފޫރު,Alfaazil,އަލްފާޟިލް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,1,11,12500,12500,24000,24000,24000,24000,24000,24000,24000,24000,24000,majlis-health-insurance-2014-2025
muhamadhu-abdhulkareem-henveyru-dhekunu,muhamadhu abdhulkareem,މުޙައްމަދު ޢަބްދުލްކަރީމް,Alfaazil,އަލްފާޟިލް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,1,12,62500,62500,120000,144000,144000,24000,24000,24000,24000,24000,24000,majlis-health-insurance-2014-2025
husain-shaheem-henveyru-dhekunu,husain shaheem,ޙުސައިން ޝަހީމް,Alfaazil,އަލްފާޟިލް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,1,13,,,,,,96000,96000,96000,96000,96000,24000,majlis-health-insurance-2014-2025
husain-imraan-lateef-henveyru-dhekunu,husain imraan lateef,ޙުސައިން އިމްރާން ލަޠީފް,Alfaazil,އަލްފާޟިލް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,1,14,,,,,,,,,,,96000,majlis-health-insurance-2014-2025
hasan-lateef-henveyru-hulhangu,hasan lateef,ޙަސަން ލަޠީފް,Al-Ustaz,އަލްއުސްތާޛު,henveyru hulhangu dhaairaa,ހެންވޭރު ހުޅަނގު ދާއިރާ,1,15,,,,,,96000,96000,96000,96000,96000,24000,majlis-health-insurance-2014-2025
alee-ibraaheem-henveyru-hulhangu,alee ibraaheem,ޢަލީ އިބްރާހީމް,Alfaazil,އަލްފާޟިލް,henveyru hulhangu dhaairaa,ހެންވޭރު ހުޅަނގު ދާއިރާ,1,16,,,,,,,,,,,72000,majlis-health-insurance-2014-2025
eevaa-abdhuullah-galolhu-uthuru,eevaa abdhuullah,އީވާ ޢަބްދުﷲ,Alfaazilaa,އަލްފާޟިލާ,galolhu uthuru dhaairaa,ގަލޮޅު އުތުރު ދާއިރާ,1,17,37500,37500,72000,72000,72000,72000,72000,72000,72000,72000,24000,majlis-health-insurance-2014-2025
muhamadhu-ibraaheem-galolhu-uthuru,muhamadhu ibraaheem,މުޙައްމަދު އިބްރާހީމް,Alfaazil,އަލްފާޟިލް,galolhu uthuru dhaairaa,ގަލޮޅު އުތުރު ދާއިރާ,1,18,,,,,,,,,,,72000,majlis-health-insurance-2014-2025
