row_id,name,name_dv,constituency,constituency_dv,amount,source_page,source_row,source_id
rti20--001,alfaazeel husain shareefu,އަލްފާޟީލް ޙުސައިން ޝަރީފު,hulhumaale uthuru dhaairaa,ހުޅުމާލެ އުތުރު ދާއިރާ,336000,1,,rti-20th-majlis-insurance-2024-2026
rti20--002,alfaazil abdhuullah shadheem,އަލްފާޟިލް ޢަބްދުﷲ ޝަޛީމް,hulhumaale medhu dhaairaa,ހުޅުމާލެ މެދު ދާއިރާ,240000,1,,rti-20th-majlis-insurance-2024-2026
rti20--003,doktar ahmadhu shamheedhu,ޑޮކްޓަރ އަޙްމަދު ޝަމްހީދު,hulhumaale dhekunu dhaairaa,ހުޅުމާލެ ދެކުނު ދާއިރާ,192000,1,,rti-20th-majlis-insurance-2024-2026
rti20--004,alfaazil ahmadhu aifaan,އަލްފާޟިލް އަޙްމަދު އައިފާން,henveyru uthuru dhaairaa,ހެންވޭރު އުތުރު ދާއިރާ,168000,1,,rti-20th-majlis-insurance-2024-2026
rti20--005,alfaazil husain naasih,އަލްފާޟިލް ޙުސައިން ނާޞިޙް,medhuhenveyru dhaairaa,މެދުހެންވޭރު ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--006,alfaazil husain imraan lateef,އަލްފާޟިލް ޙުސައިން އިމްރާން ލަޠީފް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,192000,1,,rti-20th-majlis-insurance-2024-2026
rti20--007,alfaazil alee ibraaheem,އަލްފާޟިލް ޢަލީ އިބްރާހީމް,henveyru hulhangu dhaairaa,ހެންވޭރު ހުޅަނގު ދާއިރާ,168000,1,,rti-20th-majlis-insurance-2024-2026
rti20--008,alfaazil muhamadhu ibraaheem,އަލްފާޟިލް މުޙައްމަދު އިބްރާހީމް,galolhu uthuru dhaairaa,ގަލޮޅު އުތުރު ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--009,alfaazil meekaaeelu ahmadhu naseem,އަލްފާޟިލް މީކާއީލު އަޙްމަދު ނަސީމް,galolhu dhekunu dhaairaa,ގަލޮޅު ދެކުނު ދާއިރާ,96000,1,,rti-20th-majlis-insurance-2024-2026
rti20--010,alfaazil ibraaheem muhamadhu,އަލްފާޟިލް އިބްރާހީމް މުޙައްމަދު,machangolhi uthuru dhaairaa,މައްޗަންގޮޅި އުތުރު ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--011,alfaazil ahmadhu zameeru,އަލްފާޟިލް އަޙްމަދު ޟަމީރު,machangolhi medhu dhaairaa,މައްޗަންގޮޅި މެދު ދާއިރާ,216000,1,,rti-20th-majlis-insurance-2024-2026
rti20--012,alfaazil mustafaa husain,އަލްފާޟިލް މުޞްޠަފާ ޙުސައިން,machangolhi dhekunu dhaairaa,މައްޗަންގޮޅި ދެކުނު ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--013,alfaazil muhamadhu naazim,އަލްފާޟިލް މުޙައްމަދު ނާޡިމް,maafannu uthuru dhaairaa,މާފަންނު އުތުރު ދާއިރާ,96000,1,,rti-20th-majlis-insurance-2024-2026
rti20--014,alfaazlaa asmaa rasheedhu,އަލްފާޟލާ އަސްމާ ރަޝީދު,maafannu medhu dhaairaa,މާފަންނު މެދު ދާއިރާ,48000,1,,rti-20th-majlis-insurance-2024-2026
rti20--015,alfaazil abdhuullah rifaau,އަލްފާޟިލް ޢަބްދުﷲ ރިފާޢު,maafannu dhekunu dhaairaa,މާފަންނު ދެކުނު ދާއިރާ,336000,1,,rti-20th-majlis-insurance-2024-2026
rti20--016,muhamadhu mustafaa ibraaheem,މުޙައްމަދު މުޞްޠަފާ އިބްރާހީމް,maafannu hulhangu dhaairaa,މާފަންނު ހުޅަނގު ދާއިރާ,168000,1,,rti-20th-majlis-insurance-2024-2026
rti20--017,alfaazil muhamadhu ismaaeel,އަލްފާޟިލް މުޙައްމަދު އިސްމާޢީލް,vilimaale dhaairaa,ވިލިމާލެ ދާއިރާ,264000,1,,rti-20th-majlis-insurance-2024-2026
rti20--018,alfaazil alee moosaa,އަލްފާޟިލް ޢަލީ މޫސާ,hoarafushi dhaairaa,ހޯރަފުށި ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--019,alfaazil ahmadhu naseeru,އަލްފާޟިލް އަޙްމަދު ނަޞީރު,ihavandhoo dhaairaa,އިހަވަންދޫ ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--020,alfaazil ibraaheem shujaau,އަލްފާޟިލް އިބްރާހީމް ޝުޖާޢު,baarashu dhaairaa,ބާރަށު ދާއިރާ,264000,1,,rti-20th-majlis-insurance-2024-2026
rti20--021,alfaazil abdhulateef muhamadhu,އަލްފާޟިލް ޢަބްދުއްލަޠީފް މުޙައްމަދު,dhidhoo dhaairaa,ދިއްދޫ ދާއިރާ,48000,1,,rti-20th-majlis-insurance-2024-2026
rti20--022,alfaazil abdhuullah shareef,އަލްފާޟިލް ޢަބްދުﷲ ޝަރީފް,kelaa dhaairaa,ކެލާ ދާއިރާ,240000,1,,rti-20th-majlis-insurance-2024-2026
rti20--023,alfaazil abdhulghafooru moosaa,އަލްފާޟިލް ޢަބްދުލްޣަފޫރު މޫސާ,hanimaadhoo dhaairaa,ހަނިމާދޫ ދާއިރާ,96000,1,,rti-20th-majlis-insurance-2024-2026
rti20--024,alfaazil muhamadhu rasheedhu,އަލްފާޟިލް މުޙައްމަދު ރަޝީދު,nolhivaram dhaairaa,ނޮޅިވަރަމް ދާއިރާ,72000,1,,rti-20th-majlis-insurance-2024-2026
rti20--025,alfaazil husain ziyaadhu,އަލްފާޟިލް ޙުސައިން ޒިޔާދު,vaikaradhoo dhaairaa,ވައިކަރަދޫ ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--026,alfaazil muhamadhu dhaaoodhu,އަލްފާޟިލް މުޙައްމަދު ދާއޫދު,kulhudhufushi uthuru dhaairaa,ކުޅުދުއްފުށި އުތުރު ދާއިރާ,216000,1,,rti-20th-majlis-insurance-2024-2026
rti20--027,alfaazil faruhathu muhamadhu,އަލްފާޟިލް ފަރުޙަތު މުޙައްމަދު,kulhudhufushi dhekunu dhaairaa,ކުޅުދުއްފުށި ދެކުނު ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--028,alfaazil aadham shafeequ,އަލްފާޟިލް އާދަމް ޝަފީޤު,makunudhoo dhaairaa,މަކުނުދޫ ދާއިރާ,168000,1,,rti-20th-majlis-insurance-2024-2026
