source_id,title,title_dv,publisher,url,reference,kind,period_start,period_end,retrieved,checksum_total
majlis-member-roster,People's Majlis member roster,,People's Majlis,https://majlis.gov.mv/en/20-parliament/members,,official-register,,,,
majlis-speakers-history,People's Majlis previous speakers,,People's Majlis,https://majlis.gov.mv/en/speakers-history,,official-register,,,,
majlis-health-insurance-2014-2025,Health insurance premiums paid for members of the People's Majlis,ރައްޔިތުންގެ މަޖިލީހުގެ މެންބަރުންނަށް ހެލްތު އިންޝުއަރެންސް ޕްރީމިއަމަށް ހިނގާފައިވާ ޚަރަދު,People's Majlis,https://mvdevsunion.github.io/MPs_allowance/mps-allowance.pdf,,official-disclosure,2014-05-28,2025-05-27,,
rti-20th-majlis-insurance-2024-2026,20th People's Majlis members' insurance expenditure (member and dependents),,"People's Majlis, via the Information Commissioner's Office",https://icom.sgp1.digitaloceanspaces.com/ID%206732-%20Annex-1_RTI_20th%20Majlis%20till%2027th%20May%202026-1760009635350.pdf,ID 6732 Annex-1,official-disclosure,2024-05-28,2026-05-27,,16608000
rti-foreign-affairs-salary-structure-2025,"Employee details and entitled allowances, as at 31 December 2025",,Ministry of Foreign Affairs,/sources/political-appointees/foreign-affairs-salary-structure-2025-12-31.pdf,,official-disclosure,2025-12-31,2025-12-31,2026-08-24,
rti-health-family-welfare-political-2026,"Political appointees: RTI response, as at 31 March 2026",,"Ministry of Health, Family and Welfare",/sources/political-appointees/health-family-welfare-political-appointees-2026-03-31.pdf,23-M/INDIV/2026/579,official-disclosure,2026-03-31,2026-03-31,2026-08-24,
rti-finance-political-staff,Political appointees list,,Ministry of Finance and Planning,/sources/political-appointees/finance-political-staff-list.xlsx,,official-disclosure,,,2026-08-24,
rti-education-higher-education-political,Persons holding political posts from 16 November 2023,,Ministry of Education and Higher Education,/sources/political-appointees/education-higher-education-political-appointees.pdf,,official-disclosure,,,2026-08-24,
rti-homeland-security-technology-political-2025,"Political posts: RTI response, 7 September 2025",,Ministry of Homeland Security and Technology,/sources/political-appointees/homeland-security-technology-political-posts-2025.pdf,(MISL)10-A/INDIV/2025/103,official-disclosure,2025-09-07,2025-09-07,2026-08-24,
rti-health-political-appointees-2025,"Requested political appointee details, 18 September 2025",,Ministry of Health,/sources/political-appointees/health-political-appointees-2025-09-18.docx,,official-disclosure,2025-09-18,2025-09-18,2026-08-24,
rti-majlis-vip-18th,"Airport VIP service paid by the Majlis on behalf of members, 18th Majlis",,"People's Majlis, via the Information Commissioner's Office",https://icom.sgp1.digitaloceanspaces.com/18th%20Majlis-1760009929046.pdf,,official-disclosure,2014-05-28,2019-05-27,2026-09-16,
rti-majlis-vip-19th,"Airport VIP service paid by the Majlis on behalf of members, 19th Majlis",,"People's Majlis, via the Information Commissioner's Office",https://icom.sgp1.digitaloceanspaces.com/19th%20Majlis-1760009937309.pdf,,official-disclosure,2019-05-28,2024-05-27,2026-09-16,
rti-majlis-vip-passports-20th,"20th Majlis members holding a diplomatic passport, and airport VIP use to 31 July 2025",,"People's Majlis, via the Information Commissioner's Office",https://icom.sgp1.digitaloceanspaces.com/RTI%20_Jubraan%20Shareef-1756806263615.pdf,,official-disclosure,2024-05-28,2025-07-31,2026-09-16,
