row_id,source_page,source_row,constituency,name,movements,rate_usd,total_usd,total_mvr,source_id
vip19--001,1,1,Hulhumale,Ali Niyaz,72,60.00,4320.00,66614.40,rti-majlis-vip-19th
vip19--002,1,2,henveyru uthuru,Ibrahim Muizzu,0,60.00,0.00,,rti-majlis-vip-19th
vip19--003,1,3,Medhuhenveyru,Ali Azim,10,60.00,600.00,9252.00,rti-majlis-vip-19th
vip19--004,1,4,henveyru dhekunu,Hussain Shaheem,88,60.00,5280.00,81417.60,rti-majlis-vip-19th
vip19--005,1,5,Henveyru Hulhangu,Hassan latheef,9,60.00,540.00,8326.80,rti-majlis-vip-19th
vip19--006,1,6,Galolhu Uthuru,Eva Abdulla,21,60.00,1260.00,19429.20,rti-majlis-vip-19th
vip19--007,1,7,Galolhu Dhekunu,Meekail Ahmed Nasym,6,60.00,360.00,5551.20,rti-majlis-vip-19th
vip19--008,1,8,Machchangolhi Uthuru,Mohamed Rasheed,12,60.00,720.00,11102.40,rti-majlis-vip-19th
vip19--009,1,9,Machchangolhi Medhu,Mohamed Nasheed,1,60.00,60.00,925.20,rti-majlis-vip-19th
vip19--010,1,10,Machchangolhi Dhekunu,Ahmed Haitham,77,60.00,4620.00,71240.40,rti-majlis-vip-19th
vip19--011,1,11,Maafannu Uthuru,Imthiyaz Fahmy,27,60.00,1620.00,24980.40,rti-majlis-vip-19th
vip19--012,1,12,Maafannu Medhu,Ibrahim Rasheed,0,60.00,0.00,,rti-majlis-vip-19th
vip19--013,1,13,Maafannu dhekunu,Adam Ali,2,60.00,120.00,1850.40,rti-majlis-vip-19th
vip19--014,1,14,Maafannu Hulhangu,Mohamed Falah,7,60.00,420.00,6476.40,rti-majlis-vip-19th
vip19--015,1,15,Villimale,Ahmed Usham,18,60.00,1080.00,16653.60,rti-majlis-vip-19th
vip19--016,1,16,Hoarafushi,Ahmed Saleem,7,60.00,420.00,6476.40,rti-majlis-vip-19th
vip19--017,1,17,Ihavandhoo,Mohamed Shifau,58,60.00,3480.00,53661.60,rti-majlis-vip-19th
vip19--018,1,18,Baarashu,Ahmed Abdulla,25,60.00,1500.00,23130.00,rti-majlis-vip-19th
vip19--019,1,19,Dhidhdhoo,Abdulla Waheed,12,60.00,720.00,11102.40,rti-majlis-vip-19th
vip19--020,1,20,Kelaa,Ibrahim Shareef,11,60.00,660.00,10177.20,rti-majlis-vip-19th
vip19--021,1,21,Hanimaadhoo,Abdul Ghafoor Moosa,30,60.00,1800.00,27756.00,rti-majlis-vip-19th
vip19--022,1,22,Nolhivaram,Mohamed Nasheed Abdulla,22,60.00,1320.00,20354.40,rti-majlis-vip-19th
vip19--023,1,23,Vaikaradhoo,Hussain Ziyad,8,60.00,480.00,7401.60,rti-majlis-vip-19th
vip19--024,1,24,Kulhudhufushi Uthuru,Yasir Abdul latheef,33,60.00,1980.00,30531.60,rti-majlis-vip-19th
vip19--025,1,25,Kulhudhufushi Dhekunu,Jamsheed Mohamed,15,60.00,900.00,13878.00,rti-majlis-vip-19th
vip19--026,1,26,Makunudhoo,Mohamed Raee,57,60.00,3420.00,52736.40,rti-majlis-vip-19th
vip19--027,1,27,Kanditheemu,Abdulla Shaheem Abdul Hakeem,88,60.00,5280.00,81417.60,rti-majlis-vip-19th
vip19--028,1,28,Milandhoo,Ali Riza,8,60.00,480.00,7401.60,rti-majlis-vip-19th
vip19--029,1,29,Komandoo,Hussain Waheed,66,60.00,3960.00,61063.20,rti-majlis-vip-19th
vip19--030,1,30,Komandoo,Rashid,4,60.00,240.00,3700.80,rti-majlis-vip-19th
vip19--031,1,31,Funadhoo,Mohamed Shahid,17,60.00,1020.00,15728.40,rti-majlis-vip-19th
vip19--032,1,32,Kendhikulhudhoo,Ahmed Easa,78,60.00,4680.00,72165.60,rti-majlis-vip-19th
vip19--033,1,33,Manadhoo,Ahmed Haroon,2,60.00,120.00,1850.40,rti-majlis-vip-19th
vip19--034,1,34,Velidhoo,Mohamed Abdulla Shafeeq,10,60.00,600.00,9252.00,rti-majlis-vip-19th
vip19--035,1,35,Holhudhoo,Yoonus Ali,12,60.00,720.00,11102.40,rti-majlis-vip-19th
vip19--036,1,36,Alifushi,Mohamed Rasheed Hussain,6,60.00,360.00,5551.20,rti-majlis-vip-19th
vip19--037,1,37,Ungoofaaru,Mohamed Waheed,16,60.00,960.00,14803.20,rti-majlis-vip-19th
vip19--038,1,38,Dhuvaafaru,Ismail Ahmed,76,60.00,4560.00,70315.20,rti-majlis-vip-19th
vip19--039,1,39,Inguraidhoo,Hassan Ahmed,6,60.00,360.00,5551.20,rti-majlis-vip-19th
vip19--040,1,40,Maduvvari,Adam Shareef,53,60.00,3180.00,49035.60,rti-majlis-vip-19th
vip19--041,1,41,Thulhaadhoo,Hisaan Hussain,32,60.00,1920.00,29606.40,rti-majlis-vip-19th
vip19--042,1,42,Eydhafushi,Ahmed Saleem,3,60.00,180.00,2775.60,rti-majlis-vip-19th
vip19--043,1,43,Kendhoo,Ali Hussain,38,60.00,2280.00,35157.60,rti-majlis-vip-19th
vip19--044,1,44,Hinnavaru,Jeehan Mahmood,170,60.00,10200.00,157284.00,rti-majlis-vip-19th
vip19--045,1,45,Naifaru,Ahmed Shiyam,66,60.00,3960.00,61063.20,rti-majlis-vip-19th
vip19--046,1,46,Kurendhoo,Abdul Ghani Abdul Hakeem,41,60.00,2460.00,37933.20,rti-majlis-vip-19th
vip19--047,1,47,Kaashidhoo,Abdulla Jabir,114,60.00,6840.00,105472.80,rti-majlis-vip-19th
vip19--048,1,48,Thulusdhoo,Ibrahim Naseem,42,60.00,2520.00,38858.40,rti-majlis-vip-19th
vip19--049,1,49,Guraidhoo,Ibrahim Riza,14,60.00,840.00,12952.80,rti-majlis-vip-19th
vip19--050,1,50,Guraidhoo,Shaaz,3,60.00,180.00,2775.60,rti-majlis-vip-19th
vip19--051,1,51,Mathiveri,Hassan Zareer,6,60.00,360.00,5551.20,rti-majlis-vip-19th
