row_id,source_page,source_row,name,name_dv,constituency,constituency_dv,movements,total_mvr,source_id
vip20--001,4,1,husain shareefu,ޙުސައިން ޝަރީފު,hulhumaale uthuru dhaairaa,ހުޅުމާލެ އުތުރު ދާއިރާ,24,20950.23,rti-majlis-vip-passports-20th
vip20--002,4,2,doktar ahmadhu shamheedhu,ޑޮކްޓަރ އަޙްމަދު ޝަމްހީދު,hulhumaale dhekunu dhaairaa,ހުޅުމާލެ ދެކުނު ދާއިރާ,1,872.93,rti-majlis-vip-passports-20th
vip20--003,4,3,husain imraan lateef,ޙުސައިން އިމްރާން ލަޠީފް,henveyru dhekunu dhaairaa,ހެންވޭރު ދެކުނު ދާއިރާ,39,34044.12,rti-majlis-vip-passports-20th
vip20--004,4,4,alee ibraaheem,ޢަލީ އިބްރާހީމް,henveyru hulhangu dhaairaa,ހެންވޭރު ހުޅަނގު ދާއިރާ,29,25314.86,rti-majlis-vip-passports-20th
vip20--005,4,5,meekaaeelu ahmadhu naseem,މީކާއީލު އަޙްމަދު ނަސީމް,galolhu dhekunu dhaairaa,ގަލޮޅު ދެކުނު ދާއިރާ,8,6983.41,rti-majlis-vip-passports-20th
vip20--006,4,6,ibraaheem muhamadhu,އިބްރާހީމް މުޙައްމަދު,machangolhi uthuru dhaairaa,މައްޗަންގޮޅި އުތުރު ދާއިރާ,3,2618.77,rti-majlis-vip-passports-20th
vip20--007,4,7,mustafaa husain,މުޞްޠަފާ ޙުސައިން,machangolhi dhekunu dhaairaa,މައްޗަންގޮޅި ދެކުނު ދާއިރާ,17,14839.75,rti-majlis-vip-passports-20th
vip20--008,4,8,muhamadhu naazim,މުޙައްމަދު ނާޡިމް,maafannu uthuru dhaairaa,މާފަންނު އުތުރު ދާއިރާ,66,57613.13,rti-majlis-vip-passports-20th
vip20--009,4,9,asmaa rasheedhu,އަސްމާ ރަޝީދު,maafannu medhu dhaairaa,މާފަންނު މެދު ދާއިރާ,6,5237.55,rti-majlis-vip-passports-20th
vip20--010,4,10,abdhuullah rifaau,ޢަބްދުﷲ ރިފާޢު,maafannu dhekunu dhaairaa,މާފަންނު ދެކުނު ދާއިރާ,25,21823.16,rti-majlis-vip-passports-20th
vip20--011,4,11,muhamadhu mustafaa ibraaheem,މުޙައްމަދު މުޞްޠަފާ އިބްރާހީމް,maafannu hunlhagu dhaairaa,މާފަންނު ހުނޅަގު ދާއިރާ,50,43646.31,rti-majlis-vip-passports-20th
vip20--012,4,12,muhamadhu ismaaeel,މުޙައްމަދު އިސްމާޢީލް,vilimaale dhaairaa,ވިލިމާލެ ދާއިރާ,22,19204.38,rti-majlis-vip-passports-20th
vip20--013,4,13,alee moosaa,ޢަލީ މޫސާ,hoarafushi dhaairaa,ހޯރަފުށި ދާއިރާ,1,872.92,rti-majlis-vip-passports-20th
vip20--014,4,14,ahmadhu naseeru,އަޙްމަދު ނަޞީރު,ihavandhoo dhaairaa,އިހަވަންދޫ ދާއިރާ,34,29679.49,rti-majlis-vip-passports-20th
vip20--015,4,15,ibraaheem shujaau,އިބްރާހީމް ޝުޖާޢު,baarashu dhaairaa,ބާރަށު ދާއިރާ,31,27060.71,rti-majlis-vip-passports-20th
vip20--016,4,16,abdhuullah shareef,ޢަބްދުﷲ ޝަރީފް,kelaa dhaairaa,ކެލާ ދާއިރާ,26,22696.08,rti-majlis-vip-passports-20th
vip20--017,4,17,husain ziyaadhu,ޙުސައިން ޒިޔާދު,vaikaradhoo dhaairaa,ވައިކަރަދޫ ދާއިރާ,17,14839.74,rti-majlis-vip-passports-20th
vip20--018,4,18,muhamadhu dhaaoodhu,މުޙައްމަދު ދާއޫދު,kulhudhufushi uthuru dhaairaa,ކުޅުދުއްފުށި އުތުރު ދާއިރާ,5,4364.63,rti-majlis-vip-passports-20th
vip20--019,4,19,aadham shafeequ,އާދަމް ޝަފީޤު,makunudhoo dhaairaa,މަކުނުދޫ ދާއިރާ,14,12220.96,rti-majlis-vip-passports-20th
vip20--020,5,20,ameen faisal,އަމީން ފައިސަލް,kanditheemu dhaairaa,ކަނޑިތީމު ދާއިރާ,4,3491.70,rti-majlis-vip-passports-20th
vip20--021,5,21,hasan mufeedhu abdhulqaadhiru,ޙަސަން މުފީދު ޢަބްދުލްޤާދިރު,milandhoo dhaairaa,މިލަންދޫ ދާއިރާ,26,22696.08,rti-majlis-vip-passports-20th
vip20--022,5,22,muhamadhu mamdhooh,މުޙައްމަދު މަމްދޫޙް,funadhoo dhaairaa,ފުނަދޫ ދާއިރާ,18,15712.67,rti-majlis-vip-passports-20th
vip20--023,5,23,muhamadhu afoo haamidhu,މުޙައްމަދު ޢަފޫ ޙާމިދު,kendhikulhudhoo dhaairaa,ކެނދިކުޅުދޫ ދާއިރާ,25,21823.15,rti-majlis-vip-passports-20th
vip20--024,5,24,husnee mubaarik,ޙުސްނީ މުބާރިކް,manadhoo dhaairaa,މަނަދޫ ދާއިރާ,13,11348.04,rti-majlis-vip-passports-20th
vip20--025,5,25,muhamadhu abaas,މުޙައްމަދު ޢައްބާސް,velidhoo dhaairaa,ވެލިދޫ ދާއިރާ,3,2618.77,rti-majlis-vip-passports-20th
vip20--026,5,26,abdhusathaaru muhamadhu,ޢަބްދުއްސައްތާރު މުޙައްމަދު,holhudhoo dhaairaa,ހޮޅުދޫ ދާއިރާ,6,5237.55,rti-majlis-vip-passports-20th
vip20--027,5,27,abdhulateef abdhurahmaanu,ޢަބްދުއްލަޠީފް ޢަބްދުއްރަޙްމާނު,alifushi dhaairaa,އަލިފުށި ދާއިރާ,2,1745.85,rti-majlis-vip-passports-20th
vip20--028,5,28,ibraaheem shifaaz,އިބްރާހީމް ޝިފާޒް,ungoofaaru dhaairaa,އުނގޫފާރު ދާއިރާ,4,3491.70,rti-majlis-vip-passports-20th
vip20--029,5,29,muhamadhu alee,މުޙައްމަދު ޢަލީ,dhuvaafaru dhaairaa,ދުވާފަރު ދާއިރާ,17,14839.74,rti-majlis-vip-passports-20th
vip20--030,5,30,ibraaheem falaah,އިބްރާހީމް ފަލާޙް,inguraidhoo dhaairaa,އިނގުރައިދޫ ދާއިރާ,29,25314.86,rti-majlis-vip-passports-20th
vip20--031,5,31,ahmadhu zaahiru,އަޙްމަދު ޒާހިރު,maduvari dhaairaa,މަޑުއްވަރި ދާއިރާ,19,16585.59,rti-majlis-vip-passports-20th
vip20--032,5,32,abdhulhannaan aboobakuru,ޢަބްދުލްޙަންނާން އަބޫބަކުރު,thulhaadhoo dhaairaa,ތުޅާދޫ ދާއިރާ,16,13966.82,rti-majlis-vip-passports-20th
vip20--033,5,33,ahmadhu saleem,އަޙްމަދު ސަލީމް,eydhafushi dhaairaa,އޭދަފުށި ދާއިރާ,37,32298.26,rti-majlis-vip-passports-20th
vip20--034,5,34,mauroof dhaakiru,މަޢުރޫފް ޛާކިރު,kendhoo dhaairaa,ކެންދޫ ދާއިރާ,10,8729.26,rti-majlis-vip-passports-20th
